"artist","title","year","label","genre","source"
"Ивана","Уникална","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","The Man","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Недей","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Славка Калчева","Бяла Роза и Още Нещо","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена* ft. Серджио*","Пантера","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Мога и Без Теб","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","До Три","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Тази Нощ Се Казваш Мой","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Simona*","Скрита В Сърцето Ти","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Кралете","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Гот Ме Е","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емануела*","Без Чувства","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Лазар*","Не Деля","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2)","Ще Остана","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Simona*","Моето Момче","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Душ Или Направо","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Осем Осем","88","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Не Се Изтриваш","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кристали* и Анелия","На Маями","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Djena*","Да Видя Какво Е","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Folk Collection 11","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Petra*","La Piovra","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Таня Добрева","От Любов И С Любов","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Folk Collection 12","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Hit Bikini 2016","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Дерби","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2)","Мойта Дама","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Да Правим Спомени","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Сърце","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Белязани С Любов","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емилия","Само Мой","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Ало, Девойките","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Maria*","Maria","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Случаен Флирт","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Деси Слава*","И На Всички Като Тебе","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Теди Александрова","2014","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","18 Имаш Ли","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия и Дани Леван*","В Моя Ум","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Агресия","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Адрес Любов","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Preslava*","Златните Хитове На Пайнер 16 Preslava","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Унутамам","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Пазя Любовта","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Една Жена","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","The Best Of Magda","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Мама Ураган","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Пролет 2015","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Да Ти Дам Ли Малко","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Бебето Ми","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"DJ Живко Mикс, Анелия и Илиян","Колеги","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Борис Дали и Елена Велевска*","Ще Си Моя","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Maria*","Осъдена Душа","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Fiki*","Is This Love","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна и Иван Дяков","Майко, Една Си На Света","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Hit Bikini 2013","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кристали*","Харчи Пари","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Бягай","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Падам Си По Теб","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Бял Мерцедес (Remix)","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Искам Още","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Yanica*","Нещо Яко","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Как Го Правиш","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Палавник","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Царицата","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Празник Е","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Жадна За Любов Жена","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Първа Луна","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Дай Ми Още","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Златните Хитове На Магда","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Тонита","По-Сладко От Меда","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джулия (2)","На Дявола Жената","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Позволи Ми","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Ще Ти Взема Всичките Пари","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2) ft. Преслава","Царя На Купона","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена* и Фики*","Изневериш Ли Ми","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Петрова (5)","Златните Шлагери На Мария Петрова","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Чаках Те","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Preslava*","Пиян","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Обратно В Играта","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Тонита","Дай Ми Целувка","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Течен Шоколад","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Mr. President","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2) и Лорена","Нощта Гърми","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Сърцето Ми","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","100 Патрона","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена* и Цветелина Янева ft. Азис","Пей Сърце","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Не Лъжи На Колене","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Всичко Е Наред","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Няма ""Не""","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кали ft. Константин","В Рая","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Луна (3)","Звинаги До Теб","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Пайнер Фолк Шанс 2000","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Борис Дали ft. Галена* и Галин (2)","Барабанче","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница ft. Галин (2)","Няма Да Ме Купиш","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Дай Ми Още","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Празник Всеки Ден","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Да, Да, Да","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кристали* и Анелия","Моят Мъж","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Love Ballads 6","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Полицай","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Стара Каравана","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Мина Ми","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Всичко Забранено","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Summer Hits 2015","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Неотразимата","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Петра","Котаците и Маците","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","От Тук Започва Любовта","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","В Краката Ми Бъди","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария Кехайова","Родена За Любов","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Сестри На Дявола","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Petra*","Хищна Хиена","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2)","Ме Густа","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Милена (4)","Сладка Тайна","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емануела*","Виновна","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Екстра Жена","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона (2) ft. Константин","Безразлични","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена* & Mile Kitić","Добре Ли Си","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Hit Bikini 2017","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Love Ballads Vol. 4","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Полудяваш По Мен","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница","Изкушение","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","За Верни Приятели","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фики*","Ако Искаш","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Хищници","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Хабиби & орк. Кристал*","Хабиби","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Пролет 2014","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Допуши Ме","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Summer Hits 2014","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Валентин Валдес","Мисъл За Жена","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Македонско Девойче","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Друга Порода","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристал* & Мариана Калчева","Една Целувка","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Нека Да Позная","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Тук И Сега","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Рейхан, Севджан, Оркестър Кристал","Биз Икимиз Есмерис","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Жълтата Клюка","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена*","Да Ти Олекне","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Соня Немска","Правена Съм За Ръцете Ти","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Не Е Удобно","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница","Фуклата","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Срок На Годност","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Пайнер Хит Сезони - Пролет 2016","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Дяволски Вярно","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Магда","Нова Страница","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Гасне Пламък","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Кофти Хора","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фики*","Пате","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Просяци","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Честно Ли","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Ивана Hit Collection mp3","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Цветелина Янева","Видимо Изневерил","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Имам Само Едно Сърце","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена и Преслава","Тук Жена Му Пази","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria* & Simona*","Няма Кой Да Ме Спре","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Белите Шишарки*","Без Сълзи","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Мило Мое","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Карлос","Бомба","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2)","Парата, Ако Хвана","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Малина (3)","Best Video Selection 2","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Малина (3)","Малина","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория"," The Best Video 01","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Крепост Live","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Best Video Selection","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Best Video Selection","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Kamelia*","Best Video Selection","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Maria*","Best Video Selection","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана & Indira*","Звезди На Сцената - Live","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Raina*","Best Video Selection","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Preslava*","Video Selection","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Extra Nina*","VIDEO SELECTION","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","payner summer hits '06","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Best Video Selection II","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Preslava*","Best Video Selection 2","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Galena (3)","Best Video Selection","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","15 Години Златни Хитове - Концерт","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","10 Години На Сцената","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Best Video Selection Vol. 3","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Maria*","Best Video Selection Vol. 2","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Пайнер хит дуети","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Таня Боева","Щастлива Съм","1999","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Group Luna*","The Best Of Luna","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Tina Ivanović","Miris Ljubavi","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Деси Слава*","Ези-Тура","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Пантерите","Луда Кръв","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","12 Диаманта","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","12 Диаманта","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Таня Добрева","По Мен Ще Полудееш","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Добрата, Лошата","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Galena (3)","Официално Забранен","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Kamelia*","Erotica","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Kamelia*","Project 13","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Cvetelina Yaneva*","На Първо Място","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Andrea (3)","Andrea","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Имам Нужда От Теб","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Как Ти Стои","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Galena (3)","Az / Aз","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Игри За Напреднали","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фильо*, Глория, Мария*, Коста*, Весела, Ивана","Поп Фолк Фиеста 4","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Andrea (3)","Лоша","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кали","Силна","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Обяснения Не Давам","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Raina*","Вътре В Мен","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Златните Хитове На Пайнер 1 Gloria","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Kamelia*","Златните Хитове На Пайнер 3 Kamelia","2012","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Maria*","The Best Of Maria 2013","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Златните Хитове На Пайнер 6 Anelia","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Malina*","Златните Хитове На Пайнер 10 Malina","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Златните Хитове На Елена Паришева","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Galena (3)","Златните Хитове На Пайнер 15 Galena","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Рекодьори","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Пътеки","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Пътеки (Deluxe Edition)","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Поли Паскова","Една Самотница","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Хитовете На Планета Пайнер 12","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Retro Hits","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Хитовете На Преслава","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Феноменална","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Пясъчни Кули","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Galena (3)","Кой","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Hit Bikini 2015","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Не Давам Да Се Даваме","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Поли Паскова","Молитва За България","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена и Оркестър Канарите","Срещна Ни Хорото","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена","Да Ти Бъда Корона","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Тежко Мина Младостта ","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница","Изкушение ","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Emanuela (5)","Нотариално Заверен","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","Една На Милион","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Същата и Не Съвсем ","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Да Гори В Любов","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Любовта Настоява","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Anelia*","Всичко Води Към Теб","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Малина (3)","Огнена Звезда","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Деси Слава*","Завинаги","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Тони Дачева","Пей Сърце","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Пантерите","4+","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Валя","Искам Всичко","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Маргарита (2)","Талисман","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристал* & Мариана Калчева","Магия","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Камелия","Къде Си Ти","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Илюзия","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Илюзия","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","9ят Елемент","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ceca","Decenija","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ceca","Decenija","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Най-Щастлива","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Камелия","Нещо Горещо","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Десислава","Мистерия","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Konushenski Folk Orchestra","2002","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Погледни Ме В Очите","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Наргиз","Учан Кушлар","2002","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Reni*","Какво е Обич","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Reni*","Reni","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","Крепост","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Малина (3)","Малина","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Vesela*","Zvezdna Nosht","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мира (2)","Искам","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ивана","Без Граници","2003","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Страст","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Малина (3) & Dj Jerry (5)","Megamix","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Kamelia*","Презареждане","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Пайнер Хит Сезони Пролет 2004","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Не Поглеждай Назад","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Не Поглеждай Назад","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Пролетно Парти DJ Jerry Party Mix Vol.1","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Ceca","Gore Od Ljubavi","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Reni*","The Best Of","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Глория","10 Години","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Planeta Prima","0","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Надя (4)","Супер Е Животът","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Вероника","Искам Те Завинаги","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Преслава","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Оркестър Кристал","Тик-Так","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Рени","Искай Ме","2004","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Даниела","Жена Мечта","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Indira*","The Best","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Kamelia*","Има Любов","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Татяна","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Preslava*","Дяволско Желание","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Raina*","Любов По Скалата На Рихтер","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Summer Hits '05","2005","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Вероника","13","2006","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
